"merge.1","merge.2"
-677,-1281
-158,-4185
-1193,-3787
-621,-3230
-1436,-3296
-4030,-4078
-601,-3771
-16,-673
-3895,-3998
-4797,-4886
-227,-2893
-3869,-4136
-80,-4202
-570,-2310
-2582,-3537
-4636,-4974
-1021,-3857
-364,-1274
-947,-2964
-3991,-4982
-1534,-4386
-65,-1566
-423,-4609
-4305,-4815
-1170,-1888
-3863,-4525
-3396,-3548
-4092,-4497
-3002,-3399
-2179,-3897
-4626,-4988
-1998,-2030
-107,-4385
-2306,-4911
-2559,-3850
-4007,-4376
-712,-4947
-85,-4604
-1201,-2337
-1091,-1206
-2098,-2355
-1334,-1789
-2828,-4035
-2141,-3453
-1463,-4152
-3711,-4647
-2414,-2792
-4530,-4845
-1783,-2597
-1684,-3403
-216,-2656
-4166,-4285
-4273,-4742
-1046,-3770
-335,-3587
-432,-1925
-594,-2913
-462,-3195
-967,-4051
-108,-4010
-2914,-4156
-247,-4137
-3118,-3941
-3884,-4631
-3947,-4937
-2324,-4211
-231,-1217
-2185,-4055
-3122,-3949
-558,-3239
-590,-4475
-3012,-4182
-4426,-4769
-2404,-4509
-448,-2522
-3222,-3322
-4093,-4852
-1340,-3007
-140,-2275
-67,-1671
-1897,-2686
-535,-3099
-4544,-4552
-4304,-4327
-521,-3550
-806,-2435
-952,-2191
-2565,-4560
-551,-4033
-3911,-4792
-76,-1838
-3944,-4365
-2346,-2941
-3853,-4593
-1113,-1253
-1739,-3784
-2375,-3124
-1843,-4553
-1328,-2638
-4424,-4824
-519,-4066
-2285,-4276
-734,-2327
-3946,-4642
-3105,-3221
-671,-4950
-1573,-4785
-2787,20
-589,-2145
-450,-3200
-1609,-2680
-2085,-3054
-4425,-4600
-4750,-4837
-93,-2385
-478,-3579
-483,-3632
-3269,18
-3618,-4293
-2579,-2932
-97,-1708
-2325,-4188
-4698,-4871
-1699,-3226
-2206,-3759
-534,-3417
-4476,5
-1018,-3758
-993,-3145
-632,-4605
-2351,-4888
-1080,-4279
-3935,-4580
-3973,-4228
-4316,-4978
-851,-1110
-1271,-1368
-2946,-3995
-1459,-3341
-3277,-4672
-776,-2071
-3584,56
-4129,-4296
-2481,-2981
-4500,-4756
-3966,-4532
-856,-3964
-3566,-4637
-4001,-4511
-1376,-2874
24,52
-2847,-4227
-1390,-2853
-4223,-4831
-1412,-3805
-2183,-3186
-938,-2438
-95,-2133
-324,-2970
-1580,-3360
-493,-4875
-1867,-2094
-1337,-3136
-2687,-4265
-2057,-3512
-373,-3258
-2498,-3669
-4097,-4143
-4197,-4270
-4134,-4201
-4583,-4705
-708,-2790
-2978,7
-4056,-4547
-225,-305
-3127,-4288
-2372,-3818
-3392,-4419
-881,-3753
-3117,-4628
-3209,-3702
-28,-3640
-4140,-4255
-1747,-4846
-461,-3393
-1628,-3854
-1678,-4868
-778,-1719
-2069,-3646
-2373,-3984
-145,-972
-4079,-4856
-4336,-4735
-832,-2390
-966,-2113
-3849,-4416
-810,-1918
-2314,-2446
-1330,-4585
-449,-1502
-4710,22
-165,-1557
-3257,-3734
-126,-1422
-615,-4436
-1225,-1542
-2184,-2606
-654,-4259
-2781,-3557
-2530,-3377
-3228,-4071
-3639,-4011
-848,-4064
-1972,-3276
-1661,-4748
-4575,-4809
-984,-1060
-421,-2065
-3472,-4632
-4187,-4725
-4012,131
-3872,-4800
-2814,-2957
-4904,-4930
-484,-2339
-3188,-4743
-75,-354
-1130,-4060
-4723,-4808
-781,-1634
-3866,-4558
-428,-2989
-2418,-3173
-3071,-4818
-763,-1715
-3232,-3246
-1251,-2881
-2463,-4934
-935,33
-2557,-3003
-456,-3577
-147,-4958
-2676,-4246
-2661,-3595
-1958,-3735
-403,-3435
-843,-2898
-509,-1473
-4250,-4716
-177,-1746
-530,-1219
-1704,-3084
-290,-3055
-323,-1993
-1630,-2045
-2265,-3307
-2089,-2304
-715,-3460
-1227,-2594
-1024,-1598
-4025,-4687
-812,-3244
-114,-706
-7,-470
-209,-2906
-1541,104
-2216,-4689
-4022,-4579
-4050,-4397
-3880,-4513
-477,-3504
-2445,-4372
-1579,-4590
-1293,-2631
-2767,-3177
-1361,-1757
-829,-2075
-2920,-3181
-69,-4887
-1655,-2416
-909,-3978
-2303,-4198
-1364,-2218
-1121,-2769
-4612,-4994
-4314,-4970
-4653,-4876
-1868,-4679
-168,-4307
-1595,-2985
-316,-4335
-4341,-4939
-2866,-3444
-198,-1109
-1921,-2852
-2564,-2895
-1428,-1827
-1277,-3519
-236,-2278
-667,-1602
-239,190
-2569,-2848
-4242,-4943
-1288,-1832
-250,-1989
-861,-2441
-329,-4205
-310,-3427
78,85
-240,-3556
-4401,-4569
-2208,-4839
-1997,-4649
-3343,-3987
-4069,-4195
-4539,-4627
-945,-2996
-1167,-3994
-971,-2715
-192,-4151
-581,-1491
-4594,-4938
-2028,-2178
-839,-1427
-4695,-4844
-1861,-1898
-1710,-2194
-1916,-2743
-4024,-4404
-3986,-4559
-2124,-4572
-926,-3340
-1479,-3440
-1621,-1877
-2525,-4262
-422,-4302
-1842,-3327
-303,-1537
-4278,266
-733,8
-4616,10
-1168,112
-3292,-4686
-571,-1040
-1791,-3282
-81,-1044
-157,-3315
-2055,3
-3578,-4883
-440,-1026
-1581,-2242
-4402,-4576
-4866,65
-4214,-4230
-976,-3774
-3931,-3961
-91,-634
-983,-1147
-1894,-3842
-2513,-3262
-650,-1421
-2484,156
-659,118
-852,-3859
-2394,-3047
-4117,-4524
-372,-4053
-1926,-4454
-4706,-4764
-1929,42
-4236,-4755
-1738,-3626
-8,-1033
-1754,-2659
-4111,-4409
-3019,-4029
-179,-229
-341,-1349
-4523,2
-1462,-4448
-1066,-2729
-1971,-4133
-12,-111
-426,-3160
-1146,-1312
-1607,-2021
-1477,-3487
-4493,81
-416,-4807
-11,-1527
-201,-330
-3924,-4292
-251,-3349
-584,-2174
-340,-1324
-4094,-4256
-1357,-4746
-3861,-4761
-3102,-3236
-3520,168
-4100,-4634
-3881,-4952
-825,-4613
-857,-2543
-951,-3471
-1883,-3497
-819,-3522
-2336,-3601
-384,-1218
-2780,-3515
-605,-2692
-3865,-4825
-1707,-2227
-3912,-4512
-586,-1922
-137,-2830
-1648,-3213
-3459,-4449
-1089,-1668
-360,-2886
-1263,-3369
-2116,-4247
-2029,-3106
-2272,-4459
-1059,-1737
-552,-1652
-221,-4362
-2322,-4996
-1673,-3746
-4619,-4771
-872,279
-297,-2308
-1505,-4543
-2526,-3101
-2367,331
-3089,11
-2745,39
-959,167
-319,-827
-3591,-4624
-2217,116
-4046,102
-2488,-4319
-2508,-4931
-1175,-2645
-1061,-2614
-3383,87
-3934,-4712
-1520,-3375
-2732,-4732
-4658,193
-1407,191
-788,119
-1090,-3948
-117,-1174
-2340,-2899
-4107,-4224
-2835,-3130
-4118,135
-1103,-4719
-508,-3536
-139,-3314
-3529,-4618
-4976,31
-352,74
-4271,-4290
-400,-4847
-1145,-3066
-1213,-2908
-784,-2716
-2663,-3655
-452,252
-295,-657
-4379,46
-1236,14
-415,-1946
-2860,-4927
-4854,-4890
-2810,-3206
-159,-3289
-2563,27
-1695,-4707
-2974,-3709
-854,-1623
-4215,-4779
-2267,67
-555,40
-556,-4450
-746,-4739
-4673,28
-396,-1431
-2366,-2371
-2158,-4281
-3653,-4343
-1050,-2082
-865,-1963
4,323
-2099,-4101
-1596,-3449
-2432,-3560
-1298,-2947
-1589,-4331
-718,-1083
-711,-2534
-3819,-4504
-2256,-3272
-2454,-4615
-2722,-2734
-822,-4370
-3670,-4447
-1696,-1804
-4456,-4802
-995,-2084
-3898,-4736
-1248,-3885
-5,-1275
-928,-1575
-1853,-2644
-692,-1360
61,69
-1128,-1195
-2175,-3121
-1552,-3414
-1949,-3011
-3737,-4081
-2166,-2995
-2229,-3326
-1455,-3385
-2134,-3580
-1468,-2940
-4900,-4929
-4596,-4798
-298,-2119
76,214
-2300,-2795
-2012,195
-2246,-3547
-2017,-3211
-4326,-4793
-611,-2977
-2868,-4715
-2819,-3773
-1117,-1467
-1701,-2768
-1237,-3447
-1745,-3350
192,322
-1313,-2279
-345,-3706
-3464,93
-2013,-4295
-1882,-3133
-1973,-4072
-494,-2903
-50,-4175
-1516,-2510
-109,-4031
-598,-3732
-736,-2060
-1599,-2301
-124,-896
-490,-4206
-4312,-4521
-86,-2917
-866,-1697
-311,-3581
-3144,-4406
-2220,-2473
-2316,-3008
-1535,-3763
-4625,75
-2155,-4470
-4126,-4229
-2576,-3602
-850,-1178
-406,-844
-2672,55
-1780,-4120
-283,-2713
-375,-3641
-4694,-4720
-2949,-4405
-953,-1062
-2507,-4073
-3174,-3318
-1571,-4460
-2619,-4564
-1245,185
-471,-2517
-367,-4968
-3832,-3940
-2,-4666
-816,-4582
-990,-1533
-4353,-4503
-4428,-4479
-4804,-4985
-2771,307
-1915,-4758
-1551,-2374
-4366,171
-3004,-3750
-178,-480
-1053,-1797
-2456,68
-160,-3876
-2882,-3096
-1855,-3275
-1243,-2200
-1108,-2165
-1453,-2062
-2973,-3960
-31,-2575
-678,-3976
-3981,-4306
-431,-3052
-2087,91
-1260,-4907
-884,-2247
12,133
-391,-2444
-3992,443
-1788,-4918
-242,-1528
-582,-3237
-3645,-3721
-686,-2620
-4313,-4774
-2235,-2305
-595,-882
-1488,-3789
-214,-563
-318,-4213
-4,-4501
-602,-3921
-1472,-2353
